Date : 2023-06-04 23:36:33
Directory : c:\Users\HP\Documents\e-commerce\e-commerce-ui
Total : 106 files,  33752 codes, 347 comments, 678 blanks, all 34777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     29,477 |          0 |          3 |     29,480 |
| CSS            |         29 |      1,853 |         39 |        250 |      2,142 |
| JavaScript JSX |         36 |      1,820 |        178 |        278 |      2,276 |
| JavaScript     |         30 |        536 |        106 |        109 |        751 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| HTML           |          2 |         24 |         24 |          5 |         53 |
| XML            |          4 |          4 |          0 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        106 |     33,752 |        347 |        678 |     34,777 |
| . (Files)                                                                                         |          6 |     29,495 |         21 |         42 |     29,558 |
| libs                                                                                              |          2 |         44 |          0 |          6 |         50 |
| public                                                                                            |          6 |         51 |         48 |         13 |        112 |
| public (Files)                                                                                    |          5 |         50 |         48 |         13 |        111 |
| public\imgs                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src                                                                                               |         92 |      4,162 |        278 |        617 |      5,057 |
| src (Files)                                                                                       |         10 |        201 |         34 |         40 |        275 |
| src\components                                                                                    |         36 |      1,820 |        178 |        278 |      2,276 |
| src\config                                                                                        |          2 |         23 |          1 |          1 |         25 |
| src\css                                                                                           |         27 |      1,825 |         37 |        245 |      2,107 |
| src\libs                                                                                          |         17 |        293 |         28 |         53 |        374 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                          | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\README.md                                          | Markdown       |         38 |          0 |         33 |         71 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\data.json                                          | JSON           |         73 |          0 |          0 |         73 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\exer.js                                            | JavaScript     |          4 |         21 |          7 |         32 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\libs\authenticate.js                               | JavaScript     |         39 |          0 |          4 |         43 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\libs\socket.js                                     | JavaScript     |          5 |          0 |          2 |          7 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\package-lock.json                                  | JSON           |     29,335 |          0 |          1 |     29,336 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\package.json                                       | JSON           |         44 |          0 |          1 |         45 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\public\imgs\undraw_successful_purchase_re_mpig.svg | XML            |          1 |          0 |          0 |          1 |
