"filename", "language", "HTML", "JavaScript", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\email.css", "CSS", 0, 0, 0, 67, 0, 2, 13, 82
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\email.html", "HTML", 61, 0, 0, 0, 0, 2, 13, 76
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\generateEmail.js", "JavaScript", 0, 144, 0, 0, 0, 0, 17, 161
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\hh.html", "HTML", 120, 0, 0, 0, 0, 0, 12, 132
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\public\index.html", "HTML", 14, 0, 0, 0, 0, 2, 0, 16
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\App.css", "CSS", 0, 0, 0, 36, 0, 2, 6, 44
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\CartModalSucess.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 9, 5, 44
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\about.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\about_pic.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\addProducts.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\add_prod.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 6, 17, 150
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\cart.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, -4
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\cartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 1, 0, 3
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\dash.jsx", "JavaScript JSX", 0, 0, 0, 0, -9, 9, 0, 0
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 1, 0, 0
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\filter.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 1, 1, 15
