"filename", "language", "CSS", "JavaScript", "HTML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\generateEmail.js", "JavaScript", 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\hh.html", "HTML", 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\package-lock.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 37
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\public\index.html", "HTML", 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\App.css", "CSS", 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\about.jsx", "JavaScript JSX", 0, 0, 0, -3, 0, 0, 1, -2
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\aboutProduct.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, 0, 1, 0
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\about_pic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\add_prod.jsx", "JavaScript JSX", 0, 0, 0, 293, 0, 44, 46, 383
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\cartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\checkout.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 3, 5, 43
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\dash.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, -6, 4, 50
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\delivery.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 9, 1, 27
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\discount.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 3, 14, 62
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\display.jsx", "JavaScript JSX", 0, 0, 0, -3, 0, 6, 0, 3
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\exchange.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 2, 11, 84
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\filter.jsx", "JavaScript JSX", 0, 0, 0, -19, 0, 29, 0, 10
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\footer.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 2, 3, 34
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\home.jsx", "JavaScript JSX", 0, 0, 0, -3, 0, 5, 1, 3
