"filename", "language", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\jj\e-commerce-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\HP\Desktop\jj\e-commerce-ui\data.json", "JSON", 0, 0, 0, 0, 0, 73, 0, 0, 0, 73
"c:\Users\HP\Desktop\jj\e-commerce-ui\email.css", "CSS", 0, 0, 67, 0, 0, 0, 0, 2, 13, 82
"c:\Users\HP\Desktop\jj\e-commerce-ui\email.html", "HTML", 61, 0, 0, 0, 0, 0, 0, 2, 13, 76
"c:\Users\HP\Desktop\jj\e-commerce-ui\exer.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 21, 7, 32
"c:\Users\HP\Desktop\jj\e-commerce-ui\generateEmail.js", "JavaScript", 0, 204, 0, 0, 0, 0, 0, 0, 22, 226
"c:\Users\HP\Desktop\jj\e-commerce-ui\hh.html", "HTML", 135, 0, 0, 0, 0, 0, 0, 1, 16, 152
"c:\Users\HP\Desktop\jj\e-commerce-ui\libs\authenticate.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\HP\Desktop\jj\e-commerce-ui\libs\socket.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\HP\Desktop\jj\e-commerce-ui\package-lock.json", "JSON", 0, 0, 0, 0, 0, 29372, 0, 0, 1, 29373
"c:\Users\HP\Desktop\jj\e-commerce-ui\package.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\HP\Desktop\jj\e-commerce-ui\public\imgs\undraw_successful_purchase_re_mpig.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Desktop\jj\e-commerce-ui\public\index.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 28, 5, 68
